SP1 1NS,10,415820,129985,E92000001,E19000002,E18000010,,E06000054,E05008367
SP1 1NT,10,415854,129919,E92000001,E19000002,E18000010,,E06000054,E05008367
SP1 1NU,10,415769,129918,E92000001,E19000002,E18000010,,E06000054,E05008367
SP1 1NW,10,415918,129793,E92000001,E19000002,E18000010,,E06000054,E05008367
SP1 1PD,10,415718,130139,E92000001,E19000002,E18000010,,E06000054,E05008367
SP1 1PE,10,415924,130174,E92000001,E19000002,E18000010,,E06000054,E05008367
SP1 1PF,10,415800,130191,E92000001,E19000002,E18000010,,E06000054,E05008367
SP1 1PG,10,415878,130191,E92000001,E19000002,E18000010,,E06000054,E05008367
SP1 1PH,10,415724,130258,E92000001,E19000002,E18000010,,E06000054,E05008367
SP1 1PJ,10,415766,130343,E92000001,E19000002,E18000010,,E06000054,E05008367
SP1 1PL,10,415871,130357,E92000001,E19000002,E18000010,,E06000054,E05008367
SP1 1PN,10,415938,130387,E92000001,E19000002,E18000010,,E06000054,E05008367
SP1 1PP,10,415805,130489,E92000001,E19000002,E18000010,,E06000054,E05008367
SP1 1PQ,10,415829,130305,E92000001,E19000002,E18000010,,E06000054,E05008367
SP1 1PR,10,415890,130468,E92000001,E19000002,E18000010,,E06000054,E05008367
SP1 1PS,10,415955,130485,E92000001,E19000002,E18000010,,E06000054,E05008367
SP1 1PT,10,416085,130066,E92000001,E19000002,E18000010,,E06000054,E05008367
SP1 1PU,10,416019,130438,E92000001,E19000002,E18000010,,E06000054,E05008367
SP1 1PW,10,415832,130432,E92000001,E19000002,E18000010,,E06000054,E05008367
SP1 1PX,10,415965,130025,E92000001,E19000002,E18000010,,E06000054,E05008367
SP1 1PY,10,415965,129850,E92000001,E19000002,E18000010,,E06000054,E05008367
SP1 1PZ,10,415559,130131,E92000001,E19000002,E18000010,,E06000054,E05008367
SP1 1QA,10,415636,130163,E92000001,E19000002,E18000010,,E06000054,E05008367
SP1 1QE,10,415692,130377,E92000001,E19000002,E18000010,,E06000054,E05008367
SP1 1QF,10,415775,130605,E92000001,E19000002,E18000010,,E06000054,E05008367
SP1 1QG,10,415820,130681,E92000001,E19000002,E18000010,,E06000054,E05008367
SP1 1QH,10,415830,130569,E92000001,E19000002,E18000010,,E06000054,E05008367
SP1 1QJ,10,415918,130606,E92000001,E19000002,E18000010,,E06000054,E05008367
SP1 1QL,10,415880,130740,E92000001,E19000002,E18000010,,E06000054,E05008367
SP1 1QP,10,415882,130836,E92000001,E19000002,E18000010,,E06000054,E05008367
SP1 1QQ,10,415779,130422,E92000001,E19000002,E18000010,,E06000054,E05008367
